method,imp_id,syn_id,variable,cosine,js,wasserstein
ecdf,1.0,4.0,sbp_bin7,0.07104578174738052,0.03426066183660393,0.002284799368663876
ecdf,1.0,4.0,sbp_bin8,0.12852831157647193,0.017045594528568575,0.025191893267636017
ecdf,1.0,4.0,sbp_bin9,0.11168060240438138,0.022885200599102578,0.0036013653067246076
ecdf,1.0,4.0,sbp_bin10,0.10817042659524145,0.020802912308826572,0.043919759368568415
ecdf,1.0,4.0,dbp_bin1,0.2193267547883263,0.06160467001812881,0.006556182844654882
ecdf,1.0,4.0,dbp_bin2,0.10533384153893999,0.03781602637876439,0.033095749535053356
ecdf,1.0,4.0,dbp_bin3,0.016166876294886223,0.0295294471936563,0.0015582132338943563
ecdf,1.0,4.0,dbp_bin4,0.10683135909770725,0.03169789075688124,0.009896068733276107
ecdf,1.0,4.0,dbp_bin5,0.09157456874032877,0.027353577121138416,0.16157455757561126
ecdf,1.0,4.0,dbp_bin6,0.093581202528634,0.027762737678447037,0.026729274270380726
ecdf,1.0,4.0,dbp_bin7,0.078963104511933,0.031916828655026194,0.0013465516925724554
ecdf,1.0,4.0,dbp_bin8,0.07564101675341195,0.025054348385772602,0.021778780416340897
ecdf,1.0,4.0,dbp_bin9,0.0785447982735139,0.02446560962526244,0.0018927015250544683
ecdf,1.0,4.0,dbp_bin10,0.08736127958659978,0.03770287693224351,0.003204588671716704
ecdf,1.0,5.0,sbp_bin1,0.2580078554373816,0.03870048608045918,0.003251289416987658
ecdf,1.0,5.0,sbp_bin2,0.15450512519313508,0.03495909351049731,0.00448071811844942
ecdf,1.0,5.0,sbp_bin3,0.11451083657430183,0.02987861084514353,0.002998846597462508
ecdf,1.0,5.0,sbp_bin4,0.14597268963330168,0.03773384135794305,0.0030610222029988495
ecdf,1.0,5.0,sbp_bin5,0.10323483543401313,0.030741182001893987,0.0028250968562387262
ecdf,1.0,5.0,sbp_bin6,0.07953862249845678,0.035348552779502405,0.003005675954592349
ecdf,1.0,5.0,sbp_bin7,0.07479696794178681,0.03525348469221639,0.0033539731682146537
ecdf,1.0,5.0,sbp_bin8,0.12022109013216697,0.022590168387882487,0.07216624424022818
ecdf,1.0,5.0,sbp_bin9,0.12236967211506344,0.023623961136154382,0.015511276329957701
ecdf,1.0,5.0,sbp_bin10,0.0894579536184299,0.02129496716005289,0.001836397765565273
ecdf,1.0,5.0,dbp_bin1,0.22043346413020903,0.061877738232810675,0.002522309233290842
ecdf,1.0,5.0,dbp_bin2,0.09959605427344975,0.0344251715913174,0.002975211299563219
ecdf,1.0,5.0,dbp_bin3,0.016564559058384942,0.030100168679504012,0.001973662109046932
ecdf,1.0,5.0,dbp_bin4,0.11026573969339393,0.032838879076923524,0.009859506846643601
ecdf,1.0,5.0,dbp_bin5,0.0915863704584684,0.025710882299242354,0.14239478786974907
ecdf,1.0,5.0,dbp_bin6,0.08466077511894965,0.02800243410979209,0.0029668076380879177
ecdf,1.0,5.0,dbp_bin7,0.08088823909793275,0.0314181088079351,0.015092000584654583
ecdf,1.0,5.0,dbp_bin8,0.06136573171051707,0.023342294384753805,0.003705398668006109
ecdf,1.0,5.0,dbp_bin9,0.07617507460252682,0.0265885901743397,0.03681698763878722
ecdf,1.0,5.0,dbp_bin10,0.08811978393778508,0.03816879029806618,0.005256813907332932
