method,imp_id,syn_id,cosine_mean,cosine_std,js_mean,js_std,wasserstein_mean,wasserstein_std,ds_idx
ctgan,5.0,4.0,0.1156027731836476,0.04191640593132798,0.036496532753657815,0.007552639911107926,0.06879152315957265,0.055910863414708786,44
ctgan,5.0,5.0,0.11467874954222479,0.04050022153093735,0.0364820778715402,0.007610448806166291,0.06504777328076675,0.058803454111745236,45
ctgan,5.0,6.0,0.11517682860758079,0.04119378225833477,0.03691600399498933,0.007603254936865339,0.0666554611526354,0.056567802237587096,46
ctgan,5.0,7.0,0.11225120768620786,0.04374365194744186,0.03629056839830134,0.007528318728600163,0.06805942630724657,0.05040236931699301,47
ctgan,5.0,8.0,0.11415364141205028,0.04216300515897827,0.03662511002504499,0.007318789394626753,0.07349188969362394,0.056654386472715645,48
ctgan,5.0,9.0,0.11327480441188094,0.038768451847551136,0.036709629517867444,0.00743120529564716,0.06748094058327929,0.05832353705005852,49
ctgan,5.0,10.0,0.11492353530294255,0.04234202983859749,0.03684564216417992,0.007788562748341563,0.0702006371702717,0.059795440943287995,50
ecdf,1.0,1.0,0.11166564028895401,0.05266386455832489,0.0322514825004801,0.009179117347341333,0.02169912518666536,0.024139743492368797,1
ecdf,1.0,2.0,0.1135085389444093,0.05493539712965645,0.03229462127914763,0.00993517393659339,0.01766358693581929,0.02135617655339688,2
ecdf,1.0,3.0,0.10926343246308985,0.05274210069606965,0.03190343222564208,0.009975466051450802,0.01954593026617108,0.021054719521513745,3
ecdf,1.0,4.0,0.11185398858306264,0.05228930226257588,0.03186376577393514,0.009192684132870103,0.01990786117330879,0.035640342779760206,4
ecdf,1.0,5.0,0.10961357203298269,0.053774204850561835,0.03212987028032148,0.008850854948155662,0.01680270132229285,0.033957107860602506,5
ecdf,1.0,6.0,0.11368195239825996,0.05228922734565844,0.032001504961199516,0.010071892398821546,0.018799491787798075,0.019132476485623013,6
ecdf,1.0,7.0,0.10826645435572602,0.052458685809731,0.03142974642090181,0.009597048164100093,0.017493167199927294,0.025184892837015062,7
ecdf,1.0,8.0,0.11076100235836842,0.05125396693296485,0.03229305149987183,0.00912522145036253,0.024717349637775023,0.03343042159471312,8
ecdf,1.0,9.0,0.11194234461028055,0.05317996764783219,0.031983900864259264,0.00966883409178198,0.0159510539558667,0.018814443603416654,9
ecdf,1.0,10.0,0.11087554116757181,0.053365681611482696,0.031151850160761656,0.010014199704232469,0.011221885446984294,0.022692525343308182,10
ecdf,2.0,1.0,0.10428136631804441,0.05447551438967224,0.03203773355853587,0.00791732608693861,0.024200861468375644,0.03601461024295351,11
ecdf,2.0,2.0,0.10474947259962135,0.05401170813181727,0.03285148799706393,0.008543816001073597,0.02639271821751784,0.03061763865625012,12
ecdf,2.0,3.0,0.10421347812614945,0.05601775390442296,0.0324051374567953,0.008618627153469168,0.02079209870484882,0.03637535272945712,13
ecdf,2.0,4.0,0.10011356480596847,0.053993052802340374,0.03181335227320951,0.008967585018482204,0.007700716699079529,0.011882258206573232,14
ecdf,2.0,5.0,0.10177360702680119,0.05437941955453074,0.03234875773870538,0.009412617587121773,0.017724401171235395,0.022351939689758966,15
ecdf,2.0,6.0,0.10638868246747449,0.05298583616671318,0.03256628170407684,0.008541830225827631,0.02885295566179218,0.030011707962034048,16
ecdf,2.0,7.0,0.10387028454462748,0.051380521429587316,0.031725616920689696,0.00870937170082456,0.024257273403380415,0.04174974219124792,17
ecdf,2.0,8.0,0.10865815956919744,0.05148610526425496,0.03288015840057303,0.00850463605834606,0.04176016678404756,0.04758281494543106,18
ecdf,2.0,9.0,0.10715069950247588,0.054070242889169146,0.032755991290155585,0.008586938004844608,0.025765613390679877,0.04379917715626937,19
ecdf,2.0,10.0,0.10398534866321885,0.05215159532372842,0.03146917751468,0.008691782269184205,0.02118953560443426,0.02397832665154726,20
ecdf,3.0,1.0,0.10112541296278584,0.05752192849833909,0.03259459951193288,0.008871572893282824,0.02201238012617255,0.041783230479660996,21
ecdf,3.0,2.0,0.10136126343781444,0.056287064795881116,0.031238518005515477,0.00939861083752607,0.010631506134859161,0.020181390695448678,22
ecdf,3.0,3.0,0.10152651093855972,0.056176038999412294,0.03256588227816572,0.008561589677179994,0.020783590333377032,0.03534152914401457,23
ecdf,3.0,4.0,0.10718376901302029,0.052525655206848536,0.03153846696157972,0.00952076557016824,0.03166833122578485,0.0521127890134928,24
ecdf,3.0,5.0,0.1028396510169424,0.05556976880004235,0.032047326830046796,0.00871671415332642,0.02291659999372814,0.032377177012056516,25
ecdf,3.0,6.0,0.1047592567835169,0.05498391391870372,0.03191328119725343,0.00891720537935418,0.028861349430659194,0.045578623537369016,26
ecdf,3.0,7.0,0.10456325350108595,0.059041616205645235,0.032811616692804565,0.007895648080081875,0.0335653726554407,0.04532788851472851,27
ecdf,3.0,8.0,0.10552915007765733,0.056346597491447756,0.0321215186569568,0.009147901697041686,0.0254425377641178,0.028593867820088836,28
ecdf,3.0,9.0,0.1069521028050728,0.0548453659534038,0.03246272849336509,0.00869085791832263,0.031606199711480557,0.05000151119877192,29
ecdf,3.0,10.0,0.10268266332430886,0.05772285313022612,0.031935808758739956,0.009080167343807679,0.021454919192258178,0.02229189472697127,30
ecdf,4.0,1.0,0.09690845412373687,0.04661627152121259,0.030858760202945812,0.008938430841731126,0.012797814724829128,0.02266333546772392,31
ecdf,4.0,2.0,0.09961391111699934,0.04774574688344942,0.032089463489258604,0.00813215765529244,0.02646731625619599,0.03738603548272051,32
ecdf,4.0,3.0,0.10287695586824572,0.04399504345263986,0.03192242527158416,0.009020585720563253,0.030104538995131984,0.04868091589311925,33
ecdf,4.0,4.0,0.10083795711232084,0.049609175665305136,0.031704743525554385,0.008681805790145021,0.013801528618368818,0.01657797604448978,34
ecdf,4.0,5.0,0.10208293928524914,0.0452447552872607,0.03161109163114523,0.008736469276269396,0.029002955275097313,0.05221803751366733,35
ecdf,4.0,6.0,0.09878468747055018,0.045629857675731314,0.03189449422192604,0.008586102927204218,0.017567516736311774,0.026239740299745934,36
ecdf,4.0,7.0,0.10238850213077066,0.05101790410890232,0.032754801578459544,0.0077409962102622226,0.02679450443251266,0.04688969526866523,37
ecdf,4.0,8.0,0.10386029278864173,0.04422757472106216,0.0322113876463118,0.008567194103616822,0.03898041389402653,0.055342097261465696,38
ecdf,4.0,9.0,0.09795058481221547,0.04907192121909593,0.03193872479721537,0.008834079686829845,0.015070240769144618,0.021058670034253667,39
ecdf,4.0,10.0,0.10229041838469344,0.04080324310276626,0.03186206891899778,0.008466079200065722,0.0322302956508301,0.06605624751937493,40
ecdf,5.0,1.0,0.10117075492866909,0.049702499783642204,0.03161663126264279,0.007234749513483529,0.02534894899813177,0.02581520124614885,41
ecdf,5.0,2.0,0.09852768544554773,0.05086819148082407,0.032212649353843215,0.006533277164303107,0.025078152903540596,0.04099630334053724,42
ecdf,5.0,3.0,0.09882096875272059,0.051002257696882033,0.03177624062589084,0.007057449773966144,0.01225988793898191,0.01697876317056948,43
ecdf,5.0,4.0,0.10712451050487189,0.044755489645332866,0.0319806917271914,0.007102736842223719,0.03942116961265765,0.060549322832512235,44
ecdf,5.0,5.0,0.09929487176278703,0.050946382476663526,0.03199424798046057,0.006290981515785943,0.019305649478877654,0.033937001839109894,45
ecdf,5.0,6.0,0.10733749347006558,0.0466178849265724,0.031092319977554583,0.0071202145073904575,0.03319169289440941,0.04813039293198265,46
ecdf,5.0,7.0,0.09892375822566049,0.049543034567181156,0.031142289267390027,0.007116893014029386,0.014849586709710094,0.024552929947773684,47
ecdf,5.0,8.0,0.10018445191784901,0.05020555288367802,0.031751940417846417,0.006172107065702233,0.025787051612147817,0.036305864813613066,48
ecdf,5.0,9.0,0.10435949284380985,0.04845986450798653,0.03242789171923751,0.007106357243292161,0.033387464985881216,0.029831725681715705,49
ecdf,5.0,10.0,0.09971224185042202,0.049538034174423456,0.031858289772835356,0.0069774558694084355,0.019276057705076486,0.0230931455802691,50
